SECTOR;MES;TITULO;NARRATIVA;OPCION_A_TXT;OPCION_A_LOGIC;OPCION_B_TXT;OPCION_B_LOGIC;OPCION_C_TXT;OPCION_C_LOGIC;OPCION_D_TXT;OPCION_D_LOGIC;Unnamed: 12;Unnamed: 13
TECH;11;Guerra Remota;"Tu equipo de desarrollo, tras la pandemia, exige trabajar 100% en remoto desde cualquier lugar. TÃº sientes que la innovaciÃ³n se ha frenado y que falta ""roce"" y pizarra. Quieres volver a la oficina (hÃ­brido), pero amenazan con irse a la competencia si les obligas.";Impongo el modelo hÃ­brido (3 dÃ­as oficina). La cultura y la creatividad son innegociables. Si se van, contratarÃ© a gente que valore el contacto humano.;self_efficacy 2 | risk_propensity 2 | locus_control -1 | innovativeness -2;"Cedo totalmente. Nos convertimos en ""Remote First"". Ahorro en oficinas y accedo a talento global, aunque tenga que aprender a gestionar asÃ­ncronamente.";innovativeness 3 | ambiguity_tolerance 2 | self_efficacy 1 | achievement -1;Contrato solo a juniors locales para la oficina y mantengo a los seniors en remoto, creando dos niveles de empleados (aunque genere resentimiento).;autonomy 3 | self_efficacy 1 | innovativeness -1 | locus_control 2;Instalo software de monitorizaciÃ³n para asegurar la productividad remota, permitiendo el teletrabajo pero bajo vigilancia estricta.;emotional_stability -1;;
TECH;12;La NÃ³mina o el CrÃ©dito;Final de mes. El cliente grande se ha retrasado en el pago. Faltan 20.000â‚¬ para cubrir las nÃ³minas. El banco no te da crÃ©dito a la empresa porque ya estÃ¡s al lÃ­mite. Tienes ahorros personales para tu futura casa, pero si los pones, podrÃ­as perderlos.;Pongo mis ahorros personales. Mi equipo come antes que yo. Es mi responsabilidad como fundador y creo en el proyecto lo suficiente para doblar la apuesta.;risk_propensity 3 | self_efficacy 1 | locus_control -1 | emotional_stability -1;ReÃºno al equipo, explico la situaciÃ³n con transparencia y les pido que esperen 15 dÃ­as a cobrar, ofreciendo un bonus o stock options por las molestias.;self_efficacy 2 | ambiguity_tolerance 3 | achievement -1;Dejo de pagar a proveedores y a la Seguridad Social este mes (con recargo) para pagar las nÃ³minas netas. Priorizo al equipo frente al Estado.;risk_propensity 2 | emotional_stability 2 | self_efficacy 1 | achievement -1 | locus_control -1;Despido a las 2 personas menos productivas hoy mismo para reducir la carga salarial y poder pagar al resto. Es una decisiÃ³n de supervivencia.;locus_control 3 | achievement 3 | emotional_stability -1;;
TECH;13;El SÃ­ndrome del Objeto Brillante;"EstÃ¡is desarrollando un SaaS de logÃ­stica aburrido pero Ãºtil. De repente, la IA Generativa explota. Todo el equipo quiere dejar lo que hace y ""meter IA"" al producto, aunque no tenga mucho sentido. Sientes que perdÃ©is el foco, pero temes parecer obsoleto.";"Mantengo el rumbo fijo. ""Somos logÃ­stica, no ciencia ficciÃ³n"". ProhÃ­bo distracciones y exijo terminar el roadmap actual antes de mirar cosas nuevas.";achievement 4 | emotional_stability -1 | locus_control 2;Pivoto parcialmente. Dedico un 20% del tiempo del equipo a explorar cÃ³mo la IA puede mejorar nuestro producto real, canalizando el entusiasmo sin romper el foco.;emotional_stability 3 | self_efficacy 2 | innovativeness 3 | risk_propensity -1 | achievement -1;"Lanzo una ""feature"" de IA falsa (marketing) o muy bÃ¡sica solo para parecer modernos ante inversores, sin cambiar el producto real.";autonomy 3 | innovativeness -1 | emotional_stability 2 | locus_control 2;Nos volcamos en la IA. Si la tecnologÃ­a cambia, nosotros tambiÃ©n. Paralizo el desarrollo actual para integrar modelos de lenguaje en todo.;risk_propensity 3 | innovativeness 3 | self_efficacy 1 | emotional_stability -1 | achievement -1 | locus_control -1;;
TECH;14;Unit Economics Negativos;"Te das cuenta de que pierdes 5â‚¬ por cada cliente que captas. Los inversores dicen que ""ya rentabilizaremos cuando tengamos escala"". TÃº sientes que estÃ¡s cavando un agujero cada vez mÃ¡s hondo. Tienes dinero para aguantar 6 meses asÃ­.";Cambio el modelo de negocio hoy. Subo precios o recorto costes drÃ¡sticamente. Prefiero tener 10 clientes rentables que 1.000 que me arruinan.;risk_propensity 3 | self_efficacy 1 | locus_control -1 | achievement -1;"Sigo acelerando. ConfÃ­o en que la ""economÃ­a de escala"" y la viralidad bajarÃ¡n los costes de captaciÃ³n a futuro. Es el juego de Venture Capital.";ambiguity_tolerance 3 | risk_propensity 3 | self_efficacy 1 | achievement -1 | locus_control -1;Busco formas de monetizar los datos de los usuarios o aÃ±adir publicidad para cubrir ese dÃ©ficit, aunque empeore la experiencia de usuario.;innovativeness 3 | self_efficacy 1 | achievement -1;Preparo la empresa para una venta rÃ¡pida (Exit) antes de que el mercado se dÃ© cuenta de que los nÃºmeros no cuadran a largo plazo.;autonomy 3 | innovativeness 2 | self_efficacy 1 | emotional_stability -1 | achievement -1 | locus_control 2;;
TECH;15;Chantaje Digital;"Un hacker ""Ã©tico"" te escribe. Ha encontrado un agujero de seguridad brutal en tu web por donde se ven datos de usuarios. Pide 10.000â‚¬ en Bitcoin para decirte cÃ³mo cerrarlo y no hacerlo pÃºblico. Legalmente no deberÃ­as pagar, pero si se filtra, es el fin.";Pago los 10.000â‚¬. Es un chantaje, pero el coste de una filtraciÃ³n pÃºblica es la muerte de la empresa. Lo soluciono en silencio y paso pÃ¡gina.;achievement 4 | emotional_stability -1 | locus_control 2;No negocio con terroristas. Cierro la web temporalmente, contrato expertos para encontrar el fallo y denuncio al hacker a la policÃ­a, asumiendo el riesgo de filtraciÃ³n.;emotional_stability 3 | risk_propensity 3 | self_efficacy 1 | achievement -1 | locus_control -1;Intento contratar al hacker. Le ofrezco un puesto de trabajo y un bonus de bienvenida si nos ayuda a blindar el sistema. Transformo la amenaza en recurso.;innovativeness 3 | risk_propensity 2 | self_efficacy 1 | achievement -1 | locus_control -1;Ignoro el mensaje y rezo para que sea un farol, mientras pongo a mi equipo a revisar el cÃ³digo frenÃ©ticamente.;ambiguity_tolerance 1 | achievement -1;;
TECH;16;Amigos y Negocios;Tu co-fundador y mejor amigo estÃ¡ rindiendo muy por debajo de lo necesario. El equipo lo nota y te pide que hagas algo. Ã‰l estÃ¡ pasando por un divorcio complicado y estÃ¡ depresivo. La empresa estÃ¡ en un momento crÃ­tico de ejecuciÃ³n.;Le aparto de la operativa temporalmente. Le doy una baja pagada para que se recupere, asumiendo yo su carga de trabajo. La amistad va antes que el negocio.;emotional_stability 3 | risk_propensity -1;"Tengo la ""charla difÃ­cil"". Le digo que si no puede rendir al 100% ahora mismo, debe dar un paso al lado o reducir su participaciÃ³n (equity). El negocio no espera.";self_efficacy 2 | emotional_stability 2 | ambiguity_tolerance -1;Le cubro las espaldas ante el equipo, inventando excusas sobre su trabajo estratÃ©gico. Intento ganar tiempo esperando que se recupere pronto.;ambiguity_tolerance 1 | achievement -1;Propongo vender la empresa o buscar un CEO externo. Si mi socio no funciona, el proyecto original ya no tiene sentido para mÃ­.;innovativeness 3 | self_efficacy 1 | achievement -1;;
TECH;17;Burnout del Fundador;Llevas 2 aÃ±os trabajando 14 horas al dÃ­a. Tienes ansiedad, insomnio y tu pareja te ha dado un ultimÃ¡tum. La empresa va bien, pero tÃº sientes que vas a colapsar. Acaba de entrar una ronda de inversiÃ³n y esperan que aceleres.;Contrato a un COO (Director de Operaciones) potente para delegar el dÃ­a a dÃ­a, aunque me cueste mucho dinero y tenga que ceder poder de decisiÃ³n.;self_efficacy 2 | emotional_stability 3 | ambiguity_tolerance 2 | achievement -1;Sigo empujando. El Ã©xito requiere sacrificio. Tomo suplementos, voy a terapia y le pido paciencia a mi pareja. No puedo frenar ahora que tenemos gasolina.;ambiguity_tolerance 3 | achievement 4 | risk_propensity -1 | emotional_stability 2 | locus_control 2;Me tomo un mes sabÃ¡tico repentino. Dejo al equipo al mando y desaparezco a la montaÃ±a. Si la empresa no sobrevive un mes sin mÃ­, es que no vale nada.;autonomy 3 | risk_propensity 3 | emotional_stability 3 | ambiguity_tolerance 2 | self_efficacy 1 | innovativeness -1 | locus_control -1;Vendo mi parte en secundario a los inversores y me salgo. La salud mental es lo primero, prefiero ser un ex-fundador vivo que un CEO rico y enfermo.;emotional_stability 3 | risk_propensity -1 | autonomy 1 | locus_control 2;;
TECH;18;La Zona Gris Legal;Vuestra nueva funcionalidad bordea la legalidad (tipo Uber o Airbnb al principio). Los abogados dicen que hay un 50% de riesgo de multa millonaria, pero si funciona, serÃ©is lÃ­deres indiscutibles del mercado.;"Lanzamos. ""Pedir perdÃ³n es mejor que pedir permiso"". Innovar siempre implica pisar lÃ­neas rojas. Asumimos el riesgo y guardamos dinero para multas.";risk_propensity 3 | innovativeness 3 | autonomy 3 | self_efficacy 1 | emotional_stability -1 | achievement -1 | locus_control -1;No lanzamos hasta tener seguridad jurÃ­dica. Adaptamos el producto para que sea 100% legal, aunque sea menos atractivo y mÃ¡s lento de usar.;achievement -1;"Hacemos lobby. Me reÃºno con polÃ­ticos y reguladores para intentar cambiar la norma antes de lanzar, o conseguir un ""sandbox"" de pruebas.";self_efficacy 2 | ambiguity_tolerance 2 | innovativeness 2 | achievement -1;Lanzamos a travÃ©s de una sociedad filial o en un mercado extranjero con leyes laxas para probar sin contaminar la empresa matriz.;innovativeness 3 | self_efficacy 1 | achievement -1;;
TECH;19;Guerra de Reviews;Un competidor ha organizado un ataque de bots para poner cientos de reseÃ±as de 1 estrella en vuestra App Store, hundiendo vuestra media. Las ventas caen en picado. Apple/Google tardan semanas en responder.;Respondo pÃºblicamente con datos, exponiendo el ataque y pidiendo a nuestra comunidad real que nos apoye con reviews de 5 estrellas. Guerra abierta.;emotional_stability 3 | risk_propensity -1 | autonomy 1 | locus_control 2;"Compro 500 reviews falsas positivas para contrarrestar. ""Fuego contra fuego"". Es una medida de supervivencia sucia pero necesaria.";risk_propensity 2 | self_efficacy 1 | locus_control -1 | emotional_stability -3;Espero a la resoluciÃ³n oficial de la plataforma. No entro en el juego sucio ni molesto a mis usuarios. ConfÃ­o en el sistema.;ambiguity_tolerance 3 | achievement -1;Cambio el nombre de la App o lanzo una nueva ficha (rebranding) para empezar de cero, abandonando la marca daÃ±ada.;innovativeness 3 | self_efficacy 1 | ambiguity_tolerance -1 | achievement -1;;
TECH;20;Talento vs Lealtad;Tu Ingeniero Principal, que lleva contigo desde el garaje, se ha quedado tÃ©cnicamente obsoleto. La empresa ha crecido y su cÃ³digo es un lastre. Has encontrado a una candidata externa brillante que podrÃ­a arreglarlo todo, pero tendrÃ­as que despedir a tu leal ingeniero.;Le despido con una indemnizaciÃ³n generosa y una carta de recomendaciÃ³n increÃ­ble. La empresa necesita otro perfil y mi deber es con el futuro, no con el pasado.;achievement 3 | emotional_stability -1 | locus_control 2;Le mantengo por lealtad, pero contrato a la experta como su jefa. Espero que Ã©l acepte el rol secundario o se vaya por su cuenta.;emotional_stability 3 | ambiguity_tolerance 2 | risk_propensity -1;Le ofrezco un puesto diferente (GestiÃ³n, Cultura, FormaciÃ³n) donde no toque cÃ³digo crÃ­tico. Intento reciclarlo dentro de la casa.;emotional_stability 3 | innovativeness 2 | self_efficacy 1 | risk_propensity -1 | achievement -1;No contrato a la experta. Prefiero pagarle cursos de formaciÃ³n a mi ingeniero actual y darle tiempo para ponerse al dÃ­a. Invierto en Ã©l.;ambiguity_tolerance 3 | risk_propensity -1 | emotional_stability 2;;
TECH;21;El Ego del Fundador;"Te han dado un premio prestigioso ""30 under 30"". Te invitan a conferencias y fiestas. Empiezas a pasar mÃ¡s tiempo en eventos de networking y marca personal que en la oficina. El equipo empieza a hacer bromas sarcÃ¡sticas sobre tu ""fama"".";Corto de raÃ­z la agenda pÃºblica. Cancelo charlas y vuelvo a sentarme con el equipo a trabajar. El mejor marketing es un buen producto, no mi cara.;emotional_stability 3 | achievement 4 | risk_propensity -1 | locus_control 2;"Aprovecho el tirÃ³n. Mi marca personal atrae inversores y talento. Delego el trabajo operativo y asumo el rol de ""Embajador"" de la empresa a tiempo completo.";self_efficacy 2 | locus_control 3 | autonomy 2 | ambiguity_tolerance -1;Intento llevarme al equipo a los eventos y darles protagonismo a ellos en las entrevistas para repartir el mÃ©rito y calmar los Ã¡nimos.;self_efficacy 2 | emotional_stability 3 | ambiguity_tolerance -1;Ignoro las crÃ­ticas. Son celos. Mi trabajo ha evolucionado y ellos no entienden que las relaciones pÃºblicas son trabajo real.;self_efficacy 1 | ambiguity_tolerance -1;;
TECH;22;CÃ³digo Abierto (Open Source);"Vuestro producto usa una librerÃ­a de cÃ³digo abierto mantenida por voluntarios. HabÃ©is construido una mejora propietaria increÃ­ble sobre ella. La comunidad os pide que la liberÃ©is. Si lo hacÃ©is, perdÃ©is vuestra ventaja competitiva. Si no, quedÃ¡is como unos ""aprovechados"".";No liberamos nada. Somos una empresa, no una ONG. Nuestra propiedad intelectual (IP) es lo que nos da valor y protege los sueldos.;achievement 4 | emotional_stability -1 | locus_control 2;Liberamos el cÃ³digo. Creemos en el karma y en que la comunidad mejorarÃ¡ nuestro cÃ³digo aÃºn mÃ¡s. Nuestra ventaja debe ser la ejecuciÃ³n, no el secreto.;self_efficacy 2 | risk_propensity 2 | ambiguity_tolerance -1 | locus_control -1;"Liberamos una versiÃ³n ""Lite"" o antigua de la mejora, guardÃ¡ndonos la parte ""Premium"" para nosotros. Una soluciÃ³n polÃ­tica para quedar bien.";innovativeness 3 | self_efficacy 2 | achievement -1;Patrocinamos econÃ³micamente a los mantenedores de la librerÃ­a original con donaciones mensuales para compensar nuestra falta de contribuciÃ³n de cÃ³digo.;innovativeness 2 | self_efficacy 1 | achievement -1;;
TECH;23;El Becario Genio;Un becario de 19 aÃ±os propone una idea radical que cambia vuestro modelo de negocio. Tu ego de fundador se siente amenazado porque desmonta tu visiÃ³n original. Si le haces caso, admites que estabas equivocado durante 2 aÃ±os.;"Adopto la idea inmediatamente y nombro al becario ""Product Lead"" de esa nueva lÃ­nea. Las mejores ideas ganan, vengan de donde vengan.";emotional_stability 3 | innovativeness 3 | self_efficacy 1 | risk_propensity -1 | achievement -1;"Integro la idea como una ""evoluciÃ³n"" de mi plan original, quitÃ¡ndole importancia al cambio para salvar mi reputaciÃ³n ante los inversores.";innovativeness 2 | self_efficacy 1 | emotional_stability -1 | achievement -1;Rechazo la idea. Es brillante sobre el papel, pero el becario no tiene experiencia real de mercado. Seguimos con mi plan validado por la experiencia.;ambiguity_tolerance 1;Le ofrezco mentorÃ­a para que desarrolle esa idea fuera de la empresa como un spin-off, invirtiendo yo personalmente en Ã©l.;innovativeness 3 | self_efficacy 1 | achievement -1;;
