SECTOR;MES;TITULO;NARRATIVA;OPCION_A_TXT;OPCION_A_LOGIC;OPCION_B_TXT;OPCION_B_LOGIC;OPCION_C_TXT;OPCION_C_LOGIC;OPCION_D_TXT;OPCION_D_LOGIC
TECH;1;El MVP;Lanzas mañana. Faltan funciones clave. Competencia aprieta.;Lanzo vendiendo la visión (humo) pero arreglo rápido.;mischievous 10 | arrogant 5 | risk_propensity 15 | locus_control -5;Retraso 3 semanas. La calidad es lo primero.;diligent 10 | risk_propensity -5 | achievement -5;Soft Launch secreto a 50 amigos.;cautious 10 | risk_propensity -5 | self_efficacy -5;Lanzo Beta fea y arreglo en vivo.;achievement 15 | risk_propensity 15 | emotional_stability 10
TECH;2;El Inversor;VC agresivo ofrece 500k por el 40%. Caja crítica.;Firmo. El dinero es oxígeno.;risk_propensity 10 | dependent 5 | achievement 10 | autonomy -10;Rechazo. Valgo más.;arrogant 5 | autonomy 20 | risk_propensity 0;Negocio: 40% si garantizan 2 años de runway.;negotiation 5 | self_efficacy 15 | risk_propensity 5;Pido dinero a amigos y familia.;cautious 5 | autonomy 10 | risk_propensity 5
TECH;3;El Pivote;Nadie usa la App. El chat interno lo peta.;Pivoto al chat YA. Borrón y cuenta nueva.;innovativeness 20 | emotional_stability 10 | achievement 10;Sigo con la idea original. Hay que educar al mercado.;arrogant 5 | diligent 5 | locus_control 5 | risk_propensity -5;Mantengo los dos productos.;imaginative 5 | focus -10 | risk_propensity 5;Vendo la tecnología y cierro.;mercenary 5 | emotional_stability 5 | achievement 5
TECH;4;El Genio Tirano;Tu CTO es un genio pero hace llorar al equipo.;Le despido. La cultura escala, el genio no.;emotional_stability 10 | diligent 5 | risk_propensity 10 | achievement 5;Le aíslo en un puesto técnico sin gente.;astute 5 | innovativeness 5 | conflict_resolution 10;Le doy otra oportunidad con coach.;optimism 5 | dependent 5 | risk_propensity -2;Me pongo de su lado. Exigencia máxima.;achievement 10 | arrogant 10 | empathy -10
TECH;5;Growth Hacking;Script para spamear LinkedIn. Crecimiento 200%.;Hazlo. Pedir perdón, no permiso.;mischievous 15 | achievement 10 | risk_propensity 10;Ni de broma. Ética ante todo.;diligent 10 | cautious 5 | integrity 10;Hazlo desde dominio falso.;mischievous 10 | astute 10 | risk_propensity 10;Buscamos alternativa legal.;cautious 5 | diligent 5 | patience 5
TECH;6;Caída del Servidor;Web caída en Black Friday. Pierdes dinero. Pánico.;Tomo el mando gritando órdenes.;excitable 10 | achievement 10 | leadership 5;Calma zen. Pizzas y paso a paso.;emotional_stability 20 | self_efficacy 15 | leadership 15;Tweet gracioso para ganar tiempo.;imaginative 5 | risk_propensity 5 | focus -5;Llamo a consultor externo urgente.;dependent 10 | risk_propensity -2
TECH;7;La Oferta de Google;Te compran por 5M. Te retiras rico. Cierran tu producto.;Vendo. Pájaro en mano.;cautious 5 | mercenary 10 | ambition -10;Rechazo. Valemos 100M.;arrogant 10 | achievement 15 | risk_propensity 15;Negocio protección de equipo.;negotiation 5 | empathy 10 | self_efficacy 10;Pido el doble de precio.;astute 5 | risk_propensity 10 | greed 5
TECH;8;Deuda Técnica;"Cliente gigante pide función ""chapuza"" ya.";Hacemos la chapuza. Hay que cerrar.;achievement 10 | risk_propensity 10 | short_term 5;No. No rompo el producto.;arrogant 5 | diligent 10 | cautious 5;Lo vendo como consultoría aparte.;astute 10 | mercenary 5 | resourcefulness 10;Prometo que estará (mentira).;mischievous 10 | diplomacy 5
TECH;9;Amazon Entra;Amazon lanza tu producto gratis.;Pánico. Vendo rápido.;excitable 10 | risk_propensity -10 | emotional_stability -10;Nos enfocamos en nicho específico.;astute 10 | innovativeness 10 | locus_control 10;Guerra de guerrillas en redes.;melodramatic 5 | risk_propensity 5;Ignoro a Amazon. Sigo mi plan.;emotional_stability 15 | self_efficacy 15 | focus 10
TECH;10;Métricas;Usuarios bajan. Registros suben. ¿Qué reportas?;Destaco Registros. Maquillo.;mischievous 10 | impression_mgmt 5 | honesty -5;Muestro dato malo y plan de choque.;diligent 10 | emotional_stability 10 | honesty 10;Cambio definición de métrica.;astute 5 | mischievous 5;No envío reporte hoy.;passive_aggressive 10 | deceit 5
